p-value	categories	group1	group2
0.813470570706205	Ematocrito	recovered	recovered_b
0.140446550687271	emoglobina	recovered	recovered_b
0.126003142516619	eritrociti	recovered	recovered_b
0.813470570706205	Leucociti	recovered	recovered_b
0.493370693370418	MCH	recovered	recovered_b
0.353348167834258	MCV	recovered	recovered_b
0.155466015650866	Piastrine	recovered	recovered_b
0.356889719760981	Total_CEC_mL	recovered	recovered_b
0.161980344357406	Total_CEPmL	recovered	recovered_b
0.0869584359666927	viable_CEC_Ml	recovered	recovered_b
0.223784583435471	viable_CEP__mL	recovered	recovered_b
